user_id,video_id,date,watch_seconds,is_like,is_favorite,is_comment,is_share
U00001,V00137,2026-07-21,1474,0,0,0,0
U00001,V00796,2026-07-21,1216,0,0,0,0
U00001,V00034,2026-07-21,148,0,0,0,0
U00001,V00887,2026-07-21,32,0,0,0,0
U00001,V00519,2026-07-21,456,0,0,0,0
U00001,V00977,2026-07-21,2908,0,0,0,0
U00001,V00216,2026-07-22,800,0,0,0,0
U00001,V00623,2026-07-22,390,1,0,0,0
U00001,V00753,2026-07-25,153,0,0,0,0
U00001,V00069,2026-07-25,409,0,0,0,1
U00001,V00018,2026-07-25,163,0,0,0,0
U00001,V00048,2026-07-25,533,0,0,0,0
U00001,V00900,2026-07-25,45,0,0,0,0
U00001,V00767,2026-07-25,193,0,0,0,0
U00001,V00997,2026-07-28,310,0,0,0,0
U00001,V00854,2026-07-28,358,0,0,0,0
U00001,V00163,2026-07-28,1042,0,0,0,0
U00001,V00415,2026-07-28,740,0,0,0,0
U00001,V00818,2026-07-28,44,0,0,0,0
U00001,V00624,2026-08-01,388,0,0,0,0
U00001,V00995,2026-08-01,405,0,0,0,0
U00001,V00575,2026-08-01,56,1,0,0,0
U00001,V00535,2026-08-02,176,0,0,0,0
U00001,V00437,2026-08-02,1872,0,0,0,0
U00001,V00517,2026-08-02,113,0,0,0,0
U00001,V00595,2026-08-02,619,0,0,0,0
U00001,V00869,2026-08-05,951,0,0,0,0
U00001,V00884,2026-08-05,748,0,0,0,0
U00001,V00894,2026-08-05,101,0,0,0,0
U00001,V00573,2026-08-05,1295,0,0,0,0
U00001,V00265,2026-08-08,225,0,0,0,0
U00001,V00746,2026-08-08,112,0,0,0,0
U00001,V00168,2026-08-08,781,0,1,0,0
U00001,V00796,2026-08-08,881,0,0,0,0
U00001,V00734,2026-08-09,79,0,0,0,0
U00001,V00290,2026-08-09,850,0,0,0,0
U00001,V00429,2026-08-09,65,0,0,0,0
U00001,V00270,2026-08-09,206,1,0,0,0
U00001,V00379,2026-08-14,1520,0,0,0,0
U00001,V00313,2026-08-14,45,0,0,0,0
U00001,V00635,2026-08-14,206,0,0,0,0
U00001,V00163,2026-08-14,1697,0,0,0,0
U00001,V00797,2026-08-14,1267,0,0,0,0
U00001,V00617,2026-08-14,186,0,0,0,0
U00001,V00980,2026-08-14,690,0,0,0,0
U00001,V00859,2026-08-14,291,0,0,0,0
U00001,V00738,2026-08-16,175,0,0,0,0
U00001,V00644,2026-08-16,149,0,0,0,0
U00001,V00309,2026-08-23,546,0,0,0,0
U00001,V00890,2026-08-23,1689,0,0,0,0
U00001,V00835,2026-08-23,1121,0,0,0,0
U00001,V00499,2026-08-24,886,0,0,1,0
U00001,V00677,2026-08-24,805,0,0,0,0
U00001,V00045,2026-08-24,248,0,0,0,0
U00001,V00804,2026-08-24,584,0,0,0,0
U00001,V00706,2026-08-24,194,0,0,0,0
U00001,V00270,2026-08-24,1184,0,0,0,0
U00001,V00671,2026-08-24,1327,0,0,0,0
U00001,V00753,2026-08-27,57,0,0,0,0
U00001,V00422,2026-09-05,351,0,0,0,0
U00001,V00311,2026-09-05,870,0,0,0,0
U00001,V00416,2026-09-06,40,0,0,0,0
U00001,V00465,2026-09-06,122,0,0,0,0
U00001,V00419,2026-09-06,301,0,0,0,0
U00001,V00452,2026-09-06,785,0,0,0,0
U00001,V00900,2026-09-06,74,0,0,0,0
U00001,V00089,2026-09-06,1610,0,0,0,0
U00001,V00709,2026-09-06,431,0,1,0,0
U00001,V00679,2026-09-06,173,0,0,0,0
U00001,V00723,2026-09-06,125,0,0,0,0
U00001,V00228,2026-09-06,452,0,0,0,0
